frame	kind	x	y	w	h	area
0	PLANT	477	787	136	100	3317
1	PLANT	535	813	74	70	2324
1	VEL-HI	576	608	128	256	20
1	VEL-HI	64	704	192	96	10
2	PLANT	534	809	75	72	1908
2	VEL-HI	576	608	128	256	22
2	VEL-HI	576	1056	128	224	14
2	VEL-LO	0	0	640	512	211
3	PLANT	533	803	52	36	1044
3	VEL-HI	576	608	128	256	21
3	VEL-HI	480	1088	192	192	16
3	VEL-LO	0	0	544	352	114
4	PLANT	475	777	116	61	2188
4	VEL-HI	576	576	128	288	21
4	VEL-HI	512	1120	192	160	16
4	VEL-LO	0	0	384	512	137
5	PLANT	525	803	54	32	1041
5	VEL-HI	544	608	160	256	23
5	VEL-HI	512	1152	192	128	14
5	VEL-LO	0	128	384	416	108
6	PLANT	527	799	76	68	1925
6	VEL-HI	544	576	160	384	31
6	VEL-HI	512	1024	192	256	22
7	PLANT	527	797	70	68	1835
7	VEL-HI	544	576	160	256	24
7	VEL-HI	448	1088	224	192	18
7	VEL-LO	0	0	544	544	186
8	PLANT	525	795	72	66	1884
8	VEL-HI	576	576	128	256	20
8	VEL-HI	96	672	192	128	14
8	VEL-LO	0	0	544	672	174
9	PLANT	525	790	46	39	938
9	VEL-HI	576	640	128	192	16
9	VEL-HI	96	640	160	160	9
9	VEL-LO	288	0	384	544	112
10	PLANT	523	788	72	65	1645
10	VEL-HI	32	640	192	192	15
10	VEL-HI	576	672	128	160	12
10	VEL-LO	224	0	480	512	133
11	PLANT	525	783	72	66	1874
11	VEL-HI	0	640	320	96	14
11	VEL-HI	576	672	96	160	9
11	VEL-LO	256	0	448	448	102
12	PLANT	525	777	70	68	1732
12	VEL-HI	0	640	352	160	20
12	VEL-LO	352	0	352	992	145
13	PLANT	525	769	70	70	1707
13	VEL-HI	576	608	128	128	12
13	VEL-HI	224	736	96	64	4
13	VEL-LO	384	0	320	864	120
14	PLANT	525	763	70	68	1704
14	VEL-LO	0	800	160	128	11
15	PLANT	525	762	68	65	1700
15	VEL-LO	416	32	288	608	65
16	PLANT	526	753	68	68	1610
16	VEL-LO	480	192	224	448	41
17	PLANT	529	745	70	70	1623
17	VEL-HI	32	128	96	64	4
17	VEL-LO	480	192	224	480	38
18	PLANT	529	739	48	50	1082
18	VEL-HI	160	672	128	96	7
18	VEL-LO	480	288	192	384	26
19	PLANT	531	733	46	56	1066
19	VEL-HI	128	64	64	96	5
19	VEL-HI	96	704	96	96	5
19	VEL-LO	480	320	192	352	26
20	PLANT	531	727	46	49	1044
20	VEL-HI	96	672	128	96	4
20	VEL-LO	480	192	192	480	36
21	PLANT	531	721	48	48	991
21	VEL-LO	480	64	224	608	49
22	VEL-HI	224	960	96	96	5
22	VEL-LO	480	224	192	416	37
23	PLANT	535	705	44	48	920
23	VEL-HI	160	576	128	160	9
23	VEL-HI	352	544	96	96	4
23	VEL-LO	512	256	160	384	28
24	PLANT	539	697	41	46	927
24	VEL-HI	64	544	384	192	28
24	VEL-LO	544	32	128	320	22
25	PLANT	535	689	44	46	952
25	VEL-HI	32	608	256	160	16
26	VEL-HI	128	576	192	160	14
26	VEL-HI	608	640	96	128	7
27	PLANT	489	653	43	48	936
27	VEL-HI	192	576	96	64	5
27	VEL-HI	32	640	64	96	5
27	VEL-LO	544	32	160	288	16
28	PLANT	487	647	94	68	1965
28	VEL-HI	32	608	256	128	14
28	VEL-HI	576	640	96	96	5
28	VEL-LO	576	0	128	256	17
29	VEL-HI	128	0	96	128	7
29	VEL-HI	32	640	96	96	6
30	PLANT	539	659	42	45	920
30	VEL-HI	128	512	192	192	16
30	VEL-HI	32	640	64	96	5
31	VEL-HI	128	544	224	192	25
31	VEL-HI	608	544	96	192	11
32	VEL-HI	128	512	224	128	16
32	VEL-HI	608	512	96	128	8
32	VEL-LO	320	0	384	864	111
33	VEL-HI	160	512	192	128	13
33	VEL-HI	608	448	96	192	12
33	VEL-LO	320	0	384	480	99
34	VEL-HI	576	448	128	224	18
34	VEL-HI	192	512	192	96	9
34	VEL-LO	416	0	288	480	79
35	VEL-HI	576	416	128	288	25
35	VEL-HI	576	896	128	160	9
35	VEL-LO	32	0	576	544	147
36	PLANT	533	638	46	44	967
36	VEL-HI	576	416	128	288	23
36	VEL-HI	608	928	96	128	6
37	PLANT	403	625	78	38	1363
37	PLANT	533	635	44	44	921
37	VEL-HI	576	416	128	288	23
37	VEL-HI	608	1024	96	160	7
37	VEL-LO	0	640	416	384	79
38	PLANT	403	621	78	40	1398
38	VEL-HI	576	416	128	288	21
38	VEL-HI	224	512	224	96	12
38	VEL-LO	0	480	544	640	124
39	PLANT	399	617	82	40	1435
39	VEL-HI	96	480	320	160	24
39	VEL-HI	608	480	96	128	8
39	VEL-LO	0	1024	448	256	62
40	PLANT	397	613	82	40	1490
40	VEL-HI	576	512	128	192	11
40	VEL-HI	96	608	160	96	10
41	PLANT	397	609	80	42	1454
41	VEL-HI	576	512	96	96	6
41	VEL-HI	96	1152	64	96	4
41	VEL-LO	224	736	416	544	151
42	PLANT	395	605	82	40	1500
42	VEL-HI	608	512	96	64	6
42	VEL-HI	192	832	64	128	5
42	VEL-LO	320	672	352	608	133
43	PLANT	393	601	84	42	1598
43	VEL-HI	608	448	96	96	7
43	VEL-HI	576	1184	96	96	6
43	VEL-LO	288	608	288	448	82
44	PLANT	393	595	84	44	1749
44	PLANT	534	604	47	47	989
44	VEL-HI	0	0	128	192	14
44	VEL-HI	128	512	192	96	9
44	VEL-LO	256	320	352	672	81
45	PLANT	391	571	196	63	3802
45	VEL-HI	0	0	128	256	17
45	VEL-HI	320	0	96	96	6
46	PLANT	389	563	204	68	4027
46	VEL-HI	32	448	224	96	10
46	VEL-HI	32	64	64	160	9
47	PLANT	387	555	218	72	4656
47	PLANT	217	651	34	48	954
47	VEL-HI	0	64	224	160	17
47	VEL-HI	320	32	96	128	8
48	PLANT	385	547	228	78	4650
48	PLANT	207	647	36	53	1070
48	VEL-HI	224	0	320	160	22
48	VEL-HI	0	64	96	128	8
48	VEL-LO	288	576	288	288	48
49	PLANT	381	539	241	84	5237
49	PLANT	193	647	42	50	1172
49	VEL-HI	0	0	192	160	17
49	VEL-HI	256	32	160	64	8
50	PLANT	379	531	251	90	5754
50	PLANT	181	645	44	54	1317
50	VEL-HI	0	32	224	192	20
50	VEL-HI	256	0	288	96	16
51	PLANT	375	523	260	96	6649
51	PLANT	169	641	44	58	1435
51	VEL-HI	192	0	160	96	9
51	VEL-HI	64	0	96	128	8
52	PLANT	369	513	273	104	7368
52	PLANT	157	639	48	60	1589
52	VEL-HI	32	0	352	96	22
52	VEL-HI	64	416	128	96	7
52	VEL-LO	288	544	384	288	63
53	PLANT	363	506	290	107	8261
53	PLANT	143	635	50	66	1671
53	PLANT	281	605	42	40	969
53	VEL-HI	32	352	384	96	21
53	VEL-HI	32	32	64	128	6
53	VEL-LO	288	480	416	416	83
54	PLANT	357	499	292	112	8942
54	PLANT	131	633	52	66	1795
54	PLANT	273	603	44	40	1044
54	VEL-HI	64	288	192	160	11
54	VEL-HI	0	32	96	128	8
54	VEL-LO	288	480	416	416	99
55	PLANT	353	493	302	114	9403
55	PLANT	121	631	52	69	1928
55	PLANT	265	599	46	42	1080
55	VEL-HI	32	224	96	96	5
55	VEL-HI	416	864	96	96	5
55	VEL-LO	256	512	448	352	86
56	PLANT	347	487	310	120	9880
56	PLANT	109	629	56	70	2038
56	PLANT	257	597	48	42	1149
56	VEL-HI	96	224	128	96	8
56	VEL-HI	608	480	96	96	6
56	VEL-LO	256	512	448	512	102
57	PLANT	343	479	316	124	10127
