frame	time	camMag	camDx	camDy	meanMag	maxMag	hiFrac	loFrac	localEnergy	plantArea	plantN	plantCx	plantCy	shadowFrac	shadowChange	shadowCx	shadowCy	luma
0	0.0000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.00729	1	458.5	811.1	0.0101	0.00000	564.7	595.9	130.65
1	0.0334	2.000	0.000	2.000	5.714	34.000	0.0523	0.3761	4.2993	0.00752	1	455.9	807.7	0.0045	0.00701	468.8	851.4	130.85
2	0.0667	2.000	0.000	2.000	5.803	34.000	0.0727	0.4136	4.3326	0.00691	1	446.3	806.6	0.0048	0.00097	468.7	845.3	131.02
3	0.1001	2.000	0.000	2.000	5.604	34.409	0.0602	0.1295	4.8988	0.00637	1	444.6	802.8	0.0041	0.00090	472.4	845.0	130.92
4	0.1335	2.000	0.000	2.000	5.365	33.941	0.0625	0.1557	5.0501	0.00661	1	445.3	805.1	0.0043	0.00058	471.2	842.0	131.42
5	0.1668	2.000	0.000	2.000	5.672	39.598	0.0557	0.1261	5.4182	0.00630	1	446.0	808.3	0.0047	0.00103	465.6	838.6	131.69
6	0.2002	2.000	0.000	2.000	6.059	36.878	0.0682	0.3773	5.7991	0.00645	1	446.6	806.4	0.0042	0.00096	464.9	839.4	131.76
7	0.2336	2.000	0.000	2.000	6.393	36.878	0.0682	0.3716	5.8785	0.00637	1	447.7	801.6	0.0041	0.00048	463.7	837.3	131.81
8	0.2669	2.000	0.000	2.000	7.404	39.598	0.0591	0.2864	6.7095	0.00629	1	447.0	801.7	0.0038	0.00072	464.8	835.2	131.85
9	0.3003	2.000	0.000	2.000	8.695	36.878	0.0477	0.1705	7.7341	0.00607	1	447.5	801.0	0.0040	0.00072	464.8	829.8	132.24
10	0.3337	2.000	0.000	2.000	9.546	38.210	0.0409	0.1818	8.5670	0.00590	1	448.7	797.9	0.0041	0.00094	460.8	827.7	132.72
11	0.3670	4.000	0.000	4.000	9.974	38.210	0.0375	0.1250	8.6908	0.00619	1	455.5	792.4	0.0041	0.00077	462.2	823.6	133.14
12	0.4004	4.000	0.000	4.000	10.871	39.699	0.0307	0.1716	9.6625	0.00594	1	451.3	788.8	0.0041	0.00071	462.3	819.0	133.41
13	0.4338	4.472	-2.000	4.000	11.679	42.426	0.0273	0.1364	10.6889	0.00574	1	451.0	785.4	0.0042	0.00075	462.3	814.2	133.64
14	0.4671	4.472	-2.000	4.000	11.980	39.598	0.0102	0.1523	10.8612	0.00571	1	451.1	779.2	0.0043	0.00098	461.6	808.9	134.11
15	0.5005	4.472	-2.000	4.000	12.856	36.878	0.0068	0.0920	11.8273	0.00570	1	454.2	773.9	0.0043	0.00102	463.1	803.7	134.69
